Gender,Age,Under30,SeniorCitizen,Married,Dependents,NumberofDependents,ReferredaFriend,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,CustomerStatus,ChurnLabel,ChurnScore,CLTV,ChurnCategory,ChurnReason
Male,77,No,Yes,No,No,0,No,0,12,No Offer,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,1,Churned,Yes,74,2437,Competitor,Competitor had better devices
Female,73,No,Yes,No,No,0,No,0,13,No Offer,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16,1,Churned,Yes,90,2995,Competitor,Competitor had better devices
Female,68,No,Yes,No,No,0,No,0,11,No Offer,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,2,Churned,Yes,89,2202,Attitude,Attitude of support person
Male,74,No,Yes,Yes,No,0,Yes,1,17,No Offer,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,3,Churned,Yes,87,5508,Competitor,Competitor offered more data
Male,65,No,Yes,Yes,No,0,Yes,1,39,No Offer,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,3,Churned,Yes,96,4687,Attitude,Attitude of support person
Female,73,No,Yes,Yes,No,0,Yes,5,11,No Offer,Yes,17.25,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,3,Churned,Yes,82,4553,Competitor,Competitor offered more data
Female,74,No,Yes,Yes,No,0,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92,2,Churned,Yes,89,3834,Attitude,Attitude of service provider
Male,80,No,Yes,No,No,0,No,0,21,No Offer,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,1963.17,1,Churned,Yes,70,4716,Competitor,Competitor had better devices
Female,76,No,Yes,No,No,0,No,0,16,No Offer,Yes,38.75,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,2149.2,2,Churned,Yes,96,5913,Other,Don't know
Female,73,No,Yes,No,No,0,No,0,46,No Offer,Yes,6.13,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,4424.2,0.0,0,281.98,4706.18,2,Churned,Yes,90,3180,Competitor,Competitor had better devices
Female,70,No,Yes,Yes,No,0,Yes,1,68,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.44,1,Churned,Yes,69,5651,Competitor,Competitor had better devices
Male,75,No,Yes,Yes,No,0,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0,95.41,772.11,2,Churned,Yes,89,3077,Dissatisfaction,Network reliability
Male,74,No,Yes,Yes,No,0,Yes,1,15,No Offer,Yes,45.25,Yes,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,2024.3,1,Churned,Yes,83,4981,Competitor,Competitor had better devices
Male,76,No,Yes,No,No,0,No,0,16,No Offer,Yes,19.18,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,1587.88,3,Churned,Yes,81,2508,Dissatisfaction,Network reliability
Female,75,No,Yes,No,No,0,No,0,1,Offer E,Yes,29.68,No,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,2,Churned,Yes,75,4371,Attitude,Attitude of support person
Female,74,No,Yes,No,No,0,No,0,1,No Offer,No,0.0,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0,0,0.0,25.2,1,Churned,Yes,67,5688,Competitor,Competitor made better offer
Female,73,No,Yes,No,No,0,No,0,13,No Offer,Yes,19.03,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,1,Churned,Yes,90,2230,Competitor,Competitor made better offer
Female,69,No,Yes,No,No,0,No,0,1,No Offer,Yes,20.06,No,Yes,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,0.0,0,20.06,99.26,3,Churned,Yes,76,4363,Competitor,Competitor made better offer
Female,75,No,Yes,Yes,No,0,Yes,1,34,No Offer,Yes,2.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,3315.47,1,Churned,Yes,88,3369,Competitor,Competitor had better devices
Female,65,No,Yes,No,No,0,No,0,4,No Offer,Yes,12.68,No,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,0.0,0,50.72,493.57,1,Churned,Yes,89,2268,Competitor,Competitor had better devices
Female,77,No,Yes,No,No,0,No,0,2,No Offer,Yes,19.27,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,0.0,0,38.54,209.39,3,Churned,Yes,72,4193,Other,Poor expertise of online support
